HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,GY_ROLL,GY_YAW,GY_PITCH
a,175715,47.000,24.435,80.000,-1.340,27.215,0.095
a,175720,47.000,24.330,80.000,-1.004,25.505,2.614
a,175725,47.000,24.290,80.000,-0.515,26.528,0.370
a,175730,47.000,24.332,80.000,0.111,24.955,-2.302
a,175735,47.000,24.398,80.000,0.263,27.459,2.980
a,175740,47.000,24.273,80.000,-1.141,26.345,-0.088
a,175745,47.000,24.499,80.000,1.454,28.222,-0.898
a,175750,47.000,24.662,80.000,0.966,28.329,-0.760
a,175755,47.000,24.972,80.000,2.050,27.215,0.629
a,175760,47.000,25.108,80.000,0.722,27.917,0.522
a,175765,47.000,25.041,80.000,-0.759,25.551,0.568
a,175770,47.000,25.133,80.000,0.386,29.047,-1.111
a,175775,47.000,25.100,80.000,-0.546,28.574,0.018
a,175780,47.000,25.374,80.000,1.744,28.329,1.805
a,175785,47.000,25.323,80.000,-0.698,29.093,2.904
a,175790,47.000,25.276,80.000,-0.637,26.879,-1.081
a,175795,47.000,25.413,80.000,0.706,29.764,1.606
a,175800,47.000,25.412,80.000,-0.301,27.749,0.232
a,175805,47.000,25.782,80.000,2.431,29.520,-1.249
a,175810,47.000,25.722,80.000,-0.790,28.711,2.660
a,175815,47.000,25.884,80.000,0.889,27.383,0.308
a,175820,47.000,25.863,80.000,-0.515,29.734,1.621
a,175825,47.000,25.910,80.000,0.034,26.864,-0.608
a,175830,47.000,26.117,80.000,1.180,29.963,1.087
a,175835,47.000,26.084,80.000,-0.591,28.085,2.385
a,175840,47.000,26.280,80.000,1.103,28.818,0.034
a,175845,47.000,26.306,80.000,-0.195,30.879,0.278
a,175850,47.000,26.371,80.000,0.111,29.169,-1.203
a,175855,47.000,26.506,80.000,0.615,30.864,-0.272
a,175860,47.000,26.466,80.000,-0.698,30.360,3.011
a,175865,47.000,26.653,80.000,1.012,29.734,-2.806
a,175870,47.000,26.601,80.000,-0.790,30.314,1.805
a,175875,47.000,26.468,80.000,-1.355,28.711,-0.501
a,175880,47.000,26.753,80.000,1.744,30.253,-2.379
a,175885,47.000,26.630,80.000,-1.324,31.597,2.446
a,175890,47.000,26.547,80.000,-1.004,31.138,0.202
a,175895,47.000,26.588,80.000,-0.088,32.375,-0.333
a,175900,47.000,26.318,80.000,-2.378,31.612,-0.943
a,175905,47.000,26.448,80.000,0.615,31.566,-1.157
a,175910,47.000,26.337,80.000,-1.187,32.238,2.324
a,175915,47.000,26.266,80.000,-0.851,30.451,1.347
a,175920,47.000,26.236,80.000,-0.561,32.955,2.049
a,175925,47.000,26.164,80.000,-0.836,29.795,-2.608
a,175930,47.000,26.475,80.000,1.989,32.818,-0.913
a,175935,47.000,26.360,80.000,-1.187,31.077,2.385
a,175940,47.000,26.463,80.000,0.431,31.841,-0.302
a,175945,47.000,26.225,80.000,-2.103,32.222,1.072
a,175950,47.000,26.152,80.000,-0.820,30.177,-0.623
a,175955,47.000,26.039,80.000,-1.141,32.818,0.629
a,175960,47.000,26.130,80.000,0.401,31.597,0.324
a,175965,47.000,25.974,80.000,-1.431,31.352,2.156
a,175970,47.000,25.681,80.000,-2.408,29.490,2.171
a,175975,47.000,25.511,80.000,-1.477,31.322,0.797
a,175980,47.000,25.450,80.000,-0.637,29.871,-1.279
a,175985,47.000,25.497,80.000,0.157,31.673,-0.256
a,175990,47.000,25.314,80.000,-1.538,29.993,1.789
a,175995,47.000,24.922,80.000,-3.065,30.360,1.545
a,176000,47.000,24.790,80.000,-1.095,30.909,-0.699
a,176005,47.000,24.562,80.000,-1.798,31.047,1.133
a,176010,47.000,24.631,80.000,0.431,31.368,1.988
a,176015,47.000,24.385,80.000,-1.904,30.528,0.782
a,176020,47.000,24.255,80.000,-1.004,29.444,0.110
a,176025,47.000,24.294,80.000,0.248,31.077,1.744
a,176030,47.000,24.065,80.000,-1.721,28.513,0.614
a,176035,47.000,23.952,80.000,-0.851,30.390,1.118
a,176040,47.000,23.897,80.000,-0.393,28.955,-1.737
a,176045,47.000,23.665,80.000,-1.706,29.795,2.980
a,176050,47.000,23.370,80.000,-2.133,28.085,3.423
a,176055,47.000,23.166,80.000,-1.446,30.238,-0.638
a,176060,47.000,22.926,80.000,-1.675,28.711,-2.623
a,176065,47.000,22.907,80.000,-0.042,31.245,3.683
a,176070,47.000,22.521,80.000,-2.744,29.383,1.362
a,176075,47.000,22.242,80.000,-1.920,30.635,-1.569
a,176080,47.000,21.690,80.000,-3.904,30.039,1.469
a,176085,47.000,21.427,80.000,-1.721,31.566,0.446
a,176090,47.000,21.109,80.000,-2.103,31.016,0.308
a,176095,47.000,20.847,80.000,-1.630,29.688,0.858
a,176100,47.000,20.629,80.000,-1.278,29.230,2.247
a,176105,47.000,20.327,80.000,-1.859,26.757,0.904
a,176110,47.000,20.205,80.000,-0.485,26.482,-0.195
a,176115,47.000,20.099,80.000,-0.332,24.360,0.461
a,176120,47.000,20.293,80.000,1.897,24.589,1.026
a,176125,47.000,20.469,80.000,1.760,22.345,3.484
a,176130,47.000,20.784,80.000,2.752,22.864,1.377
a,176135,47.000,20.811,80.000,0.615,20.070,0.110
a,176140,47.000,21.058,80.000,2.218,22.055,-0.150
a,176145,47.000,21.256,80.000,1.836,20.665,-1.646
a,176150,47.000,21.360,80.000,1.088,22.161,0.538
a,176155,47.000,21.651,80.000,2.447,23.444,3.331
a,176160,47.000,21.591,80.000,-0.195,24.207,5.484
a,176165,47.000,21.625,80.000,0.492,24.558,4.064
a,176170,47.000,21.275,80.000,-2.332,22.726,2.629
a,176175,47.000,21.316,80.000,0.554,26.833,-4.348
a,176180,47.000,21.275,80.000,-0.027,24.207,2.858
a,176185,47.000,21.398,80.000,1.164,25.932,0.064
a,176190,47.000,21.455,80.000,0.676,24.024,1.102
a,176195,47.000,21.422,80.000,0.004,24.177,1.850
a,176200,47.000,21.427,80.000,0.309,22.574,0.492
