HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z,SV_POS
a,197715,0.000,0.000,36.000,-0.332,-0.498,-0.177,2.048,9.475,2.386,2.461
a,197719,0.000,0.000,36.000,0.096,-0.284,-0.697,2.040,9.324,2.243,2.065
a,197722,0.000,0.000,36.000,0.386,0.219,0.662,2.142,9.373,2.228,2.065
a,197726,0.000,0.000,36.000,0.020,0.448,1.059,2.097,9.416,2.318,2.417
a,197730,0.000,0.000,36.000,0.096,0.265,-0.697,2.087,9.363,2.205,2.021
a,197734,0.000,0.000,36.000,0.142,-0.437,0.006,2.271,9.412,2.166,2.021
a,197739,0.000,0.000,36.000,0.050,-0.452,0.204,2.093,9.379,2.290,2.021
a,197743,0.000,0.000,36.000,0.157,0.158,-0.040,2.095,9.382,2.270,2.065
a,197746,0.000,0.000,36.000,0.004,0.280,0.220,2.096,9.376,2.229,2.065
a,197750,0.000,0.000,36.000,0.096,-0.071,-0.697,2.161,9.364,2.222,1.978
a,197755,0.000,0.000,36.000,0.004,-0.269,0.647,2.209,9.407,2.228,2.461
a,197758,0.000,0.000,36.000,-0.041,-0.391,-1.551,2.063,9.391,2.228,2.417
a,197762,0.000,0.000,36.000,-0.011,-0.071,-1.216,2.088,9.386,2.255,2.065
a,197766,0.000,0.000,36.000,0.050,0.097,0.296,2.100,9.353,2.237,2.021
a,197770,0.000,0.000,36.000,0.157,0.219,0.204,2.115,9.397,2.212,2.461
a,197774,0.000,0.000,36.000,-0.011,-0.254,0.525,2.181,9.401,2.212,2.065
a,197778,0.000,0.000,36.000,0.142,-0.483,-0.422,2.140,9.383,2.241,2.109
a,197782,0.000,0.000,36.000,-0.072,-0.223,-1.048,2.133,9.396,2.249,2.109
a,197786,0.000,0.000,36.000,-0.011,0.097,-1.445,2.088,9.369,2.248,2.021
a,197790,0.000,0.000,36.000,0.004,-0.071,0.296,2.112,9.389,2.233,2.065
a,197794,0.000,0.000,36.000,-0.057,-0.178,-0.177,2.149,9.386,2.215,2.065
a,197798,0.000,0.000,36.000,0.233,-0.269,1.563,2.167,9.397,2.237,2.065
a,197803,0.000,0.000,36.000,0.004,-0.269,-0.147,2.122,9.383,2.254,2.065
a,197806,0.000,0.000,36.000,0.157,-0.101,0.952,2.096,9.366,2.235,2.065
a,197810,0.000,0.000,36.000,0.157,-0.010,0.067,2.096,9.365,2.257,2.109
a,197814,0.000,0.000,36.000,0.004,0.219,0.723,2.157,9.359,2.222,2.065
a,197818,0.000,0.000,36.000,-0.103,-0.162,0.494,2.146,9.392,2.218,2.065
a,197822,0.000,0.000,36.000,-0.347,-0.330,-1.017,2.115,9.389,2.257,2.021
a,197826,0.000,0.000,36.000,0.020,-0.055,1.303,2.114,9.357,2.264,2.417
a,197830,0.000,0.000,36.000,0.020,0.158,0.586,2.096,9.361,2.241,2.021
a,197834,0.000,0.000,36.000,0.004,0.174,0.784,2.110,9.385,2.212,2.065
a,197839,0.000,0.000,36.000,-0.240,-0.162,-0.468,2.150,9.402,2.228,2.417
a,197842,0.000,0.000,36.000,0.020,-0.208,-0.468,2.158,9.390,2.216,2.065
a,197846,0.000,0.000,36.000,-0.072,-0.223,-0.239,2.118,9.383,2.255,2.021
a,197850,0.000,0.000,36.000,-0.057,0.036,0.082,2.133,9.354,2.240,2.461
a,197855,0.000,0.000,36.000,0.020,0.280,1.761,2.131,9.400,2.251,2.109
a,197859,0.000,0.000,36.000,0.050,-0.376,0.632,2.161,9.398,2.209,2.065
a,197863,0.000,0.000,36.000,-0.133,-0.162,-0.742,2.146,9.377,2.235,2.417
a,197867,0.000,0.000,36.000,0.203,-0.010,-0.544,2.114,9.360,2.234,2.065
a,197870,0.000,0.000,36.000,0.065,0.006,1.181,2.096,9.345,2.246,2.065
a,197874,0.000,0.000,36.000,0.218,-0.071,-0.040,2.130,9.389,2.235,2.021
a,197878,0.000,0.000,36.000,0.111,-0.055,-0.116,2.131,9.394,2.228,2.021
a,197882,0.000,0.000,36.000,-0.057,-0.162,0.693,2.137,9.366,2.241,2.065
a,197887,0.000,0.000,36.000,-0.103,0.006,0.479,2.124,9.396,2.227,2.417
a,197891,0.000,0.000,36.000,-0.011,-0.071,-0.773,2.131,9.401,2.212,2.417
a,197894,0.000,0.000,36.000,-0.057,-0.055,0.525,2.108,9.342,2.230,2.065
a,197899,0.000,0.000,36.000,0.203,-0.254,-1.551,2.126,9.384,2.234,2.109
a,197903,0.000,0.000,36.000,0.035,-0.208,-0.086,2.127,9.388,2.225,2.021
a,197906,0.000,0.000,36.000,-0.087,-0.147,1.227,2.140,9.380,2.233,2.021
