HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z,SWP_SG,SV_POS
a,55080,0.000,8.213,36.000,0.280,0.038,0.506,2.194,9.364,2.248,8.213,11.821
a,55084,0.000,8.162,36.000,0.005,0.068,0.154,2.198,9.324,2.255,8.162,11.689
a,55087,0.000,8.110,36.000,0.097,-0.191,-0.792,2.210,9.348,2.247,8.110,11.689
a,55091,0.000,8.058,36.000,0.051,0.099,0.353,2.152,9.316,2.246,8.058,11.777
a,55095,0.000,8.005,36.000,0.158,0.023,-0.792,2.180,9.376,2.239,8.005,11.646
a,55099,0.000,7.951,36.000,0.097,0.191,-0.807,2.195,9.334,2.242,7.951,11.733
a,55103,0.000,7.897,36.000,0.234,-0.038,-0.197,2.201,9.357,2.216,7.897,11.733
a,55107,0.000,7.842,36.000,-0.117,-0.145,-1.052,2.188,9.373,2.219,7.842,13.799
a,55111,0.000,7.786,36.000,0.051,0.038,-0.136,2.235,9.384,2.258,7.786,15.864
a,55115,0.000,7.730,36.000,-0.010,-0.054,0.261,2.273,9.351,2.246,7.730,11.733
a,55119,0.000,7.673,36.000,-0.102,-0.420,0.154,2.108,9.439,2.217,7.673,11.646
a,55123,0.000,7.615,36.000,0.142,0.420,-0.533,2.158,9.268,2.307,7.615,11.689
a,55128,0.000,7.557,36.000,-0.163,-0.023,-0.395,2.233,9.422,2.116,7.557,11.689
a,55131,0.000,7.498,36.000,0.158,-0.283,-0.090,2.174,9.335,2.272,7.498,11.777
a,55135,0.000,7.439,36.000,0.051,-0.161,0.246,2.258,9.364,2.221,7.439,11.777
a,55139,0.000,7.378,36.000,0.081,-0.451,-1.723,2.105,9.355,2.265,7.378,11.689
a,55143,0.000,7.318,36.000,0.112,0.465,0.719,2.282,9.325,2.356,7.318,11.646
a,55147,0.000,7.256,36.000,-0.438,-0.069,-0.288,2.207,9.489,2.088,7.256,11.602
a,55151,0.000,7.194,36.000,0.371,-0.054,0.353,2.124,9.316,2.338,7.194,11.250
a,55155,0.000,7.132,36.000,-0.010,-0.237,-0.349,2.233,9.412,2.161,7.132,11.206
a,55160,0.000,7.068,36.000,0.341,0.511,-0.426,2.077,9.305,2.312,7.068,11.074
a,55164,0.000,7.004,36.000,0.158,0.252,0.124,2.254,9.401,2.170,7.004,10.854
a,55167,0.000,6.940,36.000,-0.255,-0.252,-0.181,2.282,9.328,2.249,6.940,10.986
a,55171,0.000,6.875,36.000,-0.071,-0.130,-1.159,2.139,9.340,2.253,6.875,10.503
a,55175,0.000,6.809,36.000,-0.316,-0.100,-0.212,2.139,9.363,2.242,6.809,10.459
a,55179,0.000,6.743,36.000,0.097,0.816,-0.685,2.059,9.340,2.292,6.743,10.459
a,55184,0.000,6.676,36.000,0.112,0.038,0.246,2.276,9.406,2.186,6.676,10.371
a,55188,0.000,6.609,36.000,-0.102,-0.344,0.368,2.272,9.355,2.261,6.609,10.415
a,55192,0.000,6.541,36.000,-0.178,-0.344,-0.609,2.101,9.351,2.201,6.541,10.459
a,55195,0.000,6.472,36.000,-0.026,0.084,-0.502,2.173,9.340,2.288,6.472,10.415
a,55199,0.000,6.403,36.000,-0.041,0.740,0.353,2.093,9.309,2.229,6.403,10.283
a,55203,0.000,6.333,36.000,0.234,0.267,0.887,2.308,9.376,2.224,6.333,10.327
a,55208,0.000,6.263,36.000,-0.606,-1.367,0.444,2.320,9.418,2.200,6.263,10.283
a,55212,0.000,6.192,36.000,0.005,-0.130,0.200,1.987,9.295,2.286,6.192,10.195
a,55215,0.000,6.121,36.000,0.448,1.076,0.261,2.040,9.325,2.296,6.121,10.854
a,55220,0.000,6.049,36.000,0.173,0.404,0.124,2.258,9.380,2.200,6.049,12.964
a,55223,0.000,5.976,36.000,-0.056,-0.802,-0.762,2.397,9.376,2.173,5.976,9.800
a,55227,0.000,5.903,36.000,-0.438,-1.229,-0.548,2.246,9.384,2.186,5.903,9.712
a,55231,0.000,5.830,36.000,0.158,0.694,-0.044,1.906,9.284,2.361,5.830,9.668
a,55235,0.000,5.756,36.000,0.448,1.351,1.147,2.087,9.370,2.247,5.756,9.624
a,55239,0.000,5.681,36.000,0.005,-0.115,1.345,2.506,9.400,2.174,5.681,9.624
a,55243,0.000,5.606,36.000,-0.392,-1.031,0.322,2.225,9.408,2.137,5.606,9.536
a,55247,0.000,5.530,36.000,0.051,-0.527,-0.685,2.049,9.275,2.342,5.530,9.536
a,55251,0.000,5.454,36.000,0.158,1.015,-0.227,2.011,9.370,2.258,5.454,9.536
a,55255,0.000,5.378,36.000,0.371,0.908,-0.273,2.264,9.376,2.215,5.378,9.580
a,55259,0.000,5.301,36.000,-0.331,-0.344,-0.456,2.351,9.398,2.252,5.301,9.536
a,55263,0.000,5.223,36.000,-0.239,-1.275,0.826,2.308,9.448,2.210,5.223,9.492
a,55268,0.000,5.145,36.000,-0.102,-0.435,0.109,2.024,9.370,2.273,5.145,9.141
