HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,SWP_SG,SV_POS,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z
a,522949,0.000,0.000,36.000,0.000,1.978,-0.065,-0.128,-0.428,0.178,9.901,0.247
a,522953,0.000,0.000,36.000,0.000,2.021,-0.203,-0.158,1.206,0.180,9.871,0.254
a,522958,0.000,0.000,36.000,0.000,2.021,-0.157,-0.067,-0.214,0.164,9.872,0.244
a,522962,0.000,0.000,36.000,0.000,2.021,-0.050,-0.005,0.565,0.180,9.875,0.262
a,522965,0.000,0.000,36.000,0.000,2.065,0.011,-0.189,-0.107,0.204,9.884,0.239
a,522969,0.000,0.000,36.000,0.000,2.021,-0.157,-0.005,0.336,0.183,9.905,0.250
a,522973,0.000,0.000,36.000,0.000,2.021,0.057,-0.021,0.213,0.180,9.865,0.243
a,522978,0.000,0.000,36.000,0.000,2.021,-0.050,-0.296,-0.107,0.170,9.863,0.225
a,522982,0.000,0.000,36.000,0.000,2.065,0.103,-0.021,-0.504,0.174,9.886,0.259
a,522985,0.000,0.000,36.000,0.000,2.021,-0.050,-0.128,0.229,0.194,9.833,0.237
a,522990,0.000,0.000,36.000,0.000,2.021,-0.248,0.056,1.053,0.172,9.867,0.256
a,522993,0.000,0.000,36.000,0.000,1.978,0.118,0.040,-0.290,0.164,9.874,0.273
a,522997,0.000,0.000,36.000,0.000,1.978,0.042,0.422,-0.687,0.178,9.887,0.247
a,523001,0.000,0.000,36.000,0.000,1.978,0.042,0.040,1.282,0.170,9.868,0.237
a,523005,0.000,0.000,36.000,0.000,1.978,0.164,-0.112,0.656,0.172,9.899,0.236
a,523009,0.000,0.000,36.000,0.000,2.021,-0.050,-0.021,0.122,0.198,9.876,0.267
a,523013,0.000,0.000,36.000,0.000,1.978,0.148,-0.280,-0.611,0.157,9.863,0.267
a,523017,0.000,0.000,36.000,0.000,1.978,0.148,-0.067,0.946,0.170,9.917,0.262
a,523021,0.000,0.000,36.000,0.000,1.978,-0.157,-0.005,0.290,0.163,9.868,0.229
a,523025,0.000,0.000,36.000,0.000,1.978,0.057,-0.128,0.168,0.178,9.857,0.266
a,523029,0.000,0.000,36.000,0.000,2.021,-0.081,-0.128,0.962,0.165,9.896,0.236
a,523033,0.000,0.000,36.000,0.000,2.021,0.011,0.056,0.565,0.183,9.869,0.255
a,523038,0.000,0.000,36.000,0.000,2.021,0.057,0.330,-0.016,0.194,9.874,0.267
a,523041,0.000,0.000,36.000,0.000,1.978,-0.050,0.040,-0.061,0.189,9.887,0.257
a,523045,0.000,0.000,36.000,0.000,2.021,-0.050,-0.082,-0.794,0.170,9.876,0.249
a,523049,0.000,0.000,36.000,0.000,2.021,0.118,0.178,0.442,0.194,9.865,0.273
a,523053,0.000,0.000,36.000,0.000,1.978,0.164,-0.051,0.320,0.158,9.895,0.255
a,523057,0.000,0.000,36.000,0.000,2.021,-0.111,0.040,-0.214,0.168,9.872,0.254
a,523061,0.000,0.000,36.000,0.000,1.978,0.286,-0.235,0.290,0.183,9.877,0.249
a,523065,0.000,0.000,36.000,0.000,1.978,0.103,-0.128,-0.672,0.192,9.884,0.239
a,523069,0.000,0.000,36.000,0.000,1.978,0.225,-0.128,0.107,0.168,9.904,0.243
a,523073,0.000,0.000,36.000,0.000,2.021,0.011,-0.128,-0.321,0.152,9.907,0.247
a,523077,0.000,0.000,36.000,0.000,2.021,0.164,0.361,0.198,0.168,9.895,0.243
a,523081,0.000,0.000,36.000,0.000,2.021,-0.111,0.040,-0.321,0.165,9.870,0.250
a,523086,0.000,0.000,36.000,0.000,1.978,0.103,0.040,-1.481,0.205,9.859,0.248
a,523090,0.000,0.000,36.000,0.000,2.021,0.011,-0.128,0.229,0.223,9.867,0.244
a,523093,0.000,0.000,36.000,0.000,2.021,0.011,-0.067,0.122,0.188,9.865,0.263
a,523098,0.000,0.000,36.000,0.000,2.021,-0.050,-0.021,-0.382,0.192,9.864,0.239
a,523101,0.000,0.000,36.000,0.000,2.065,-0.157,-0.143,-0.916,0.178,9.876,0.243
a,523105,0.000,0.000,36.000,0.000,1.978,0.026,0.056,1.435,0.154,9.900,0.231
a,523109,0.000,0.000,36.000,0.000,2.021,-0.065,0.101,0.061,0.174,9.907,0.244
a,523114,0.000,0.000,36.000,0.000,2.021,-0.126,0.086,-0.489,0.178,9.901,0.259
a,523117,0.000,0.000,36.000,0.000,1.978,0.225,0.040,-0.229,0.164,9.858,0.259
a,523122,0.000,0.000,36.000,0.000,2.021,-0.035,0.208,0.885,0.160,9.878,0.278
a,523125,0.000,0.000,36.000,0.000,2.021,0.118,0.178,0.442,0.160,9.838,0.254
a,523129,0.000,0.000,36.000,0.000,2.021,-0.142,-0.082,0.137,0.178,9.872,0.259
a,523133,0.000,0.000,36.000,0.000,2.021,0.118,0.101,0.488,0.192,9.875,0.256
a,523137,0.000,0.000,36.000,0.000,1.934,-0.035,-0.112,1.923,0.164,9.906,0.242
a,523141,0.000,0.000,36.000,0.000,2.021,0.011,-0.021,0.076,0.198,9.894,0.232
a,523145,0.000,0.000,36.000,0.000,1.978,0.011,0.086,-0.214,0.180,9.878,0.259
a,523149,0.000,0.000,36.000,0.000,1.978,-0.157,0.269,0.381,0.194,9.892,0.253
a,523153,0.000,0.000,36.000,0.000,1.978,0.240,0.101,-0.458,0.189,9.846,0.215
a,523157,0.000,0.000,36.000,0.000,2.021,0.057,-0.051,0.275,0.152,9.880,0.266
a,523161,0.000,0.000,36.000,0.000,2.065,0.011,-0.067,-0.107,0.189,9.877,0.265
a,523165,0.000,0.000,36.000,0.000,1.978,-0.172,0.361,-0.672,0.164,9.887,0.256
a,523169,0.000,0.000,36.000,0.000,2.021,-0.050,-0.005,0.015,0.188,9.877,0.257
a,523173,0.000,0.000,36.000,0.000,1.978,0.011,-0.067,0.076,0.194,9.856,0.260
a,523177,0.000,0.000,36.000,0.000,2.065,0.026,-0.280,0.885,0.186,9.871,0.273
a,523182,0.000,0.000,36.000,0.000,1.934,-0.065,0.086,-0.428,0.172,9.883,0.260
a,523185,0.000,0.000,36.000,0.000,2.021,0.240,-0.021,0.824,0.194,9.877,0.260
a,523189,0.000,0.000,36.000,0.000,2.021,0.103,0.040,-0.443,0.163,9.863,0.249
a,523193,0.000,0.000,36.000,0.000,2.021,-0.096,-0.051,0.885,0.176,9.880,0.255
a,523198,0.000,0.000,36.000,0.000,2.021,0.057,-0.173,-0.229,0.186,9.858,0.244
a,523202,0.000,0.000,36.000,0.000,2.065,0.042,-0.021,-0.993,0.178,9.874,0.249
a,523206,0.000,0.000,36.000,0.000,2.373,0.057,0.162,0.549,0.192,9.875,0.247
a,523209,0.000,0.000,36.000,0.000,1.978,0.011,0.056,0.336,0.186,9.887,0.250
a,523213,0.000,0.000,36.000,0.000,2.021,-0.065,-0.067,-0.764,0.158,9.881,0.266
a,523217,0.000,0.000,36.000,0.000,2.021,0.103,0.040,-0.886,0.170,9.913,0.259
a,523221,0.000,0.000,36.000,0.000,2.021,-0.126,0.147,-0.550,0.174,9.887,0.265
a,523226,0.000,0.000,36.000,0.000,2.021,-0.218,0.162,0.336,0.178,9.886,0.237
a,523230,0.000,0.000,36.000,0.000,2.065,-0.065,0.040,-1.145,0.195,9.872,0.272
a,523233,0.000,0.000,36.000,0.000,2.021,-0.248,-0.173,0.992,0.152,9.852,0.273
a,523238,0.000,0.000,36.000,0.000,2.021,-0.096,0.010,0.992,0.181,9.834,0.261
a,523241,0.000,0.000,36.000,0.000,2.021,-0.111,-0.280,0.504,0.180,9.863,0.271
a,523245,0.000,0.000,36.000,0.000,2.021,-0.264,0.101,0.671,0.180,9.867,0.260
a,523249,0.000,0.000,36.000,0.000,1.978,0.057,-0.021,-0.183,0.198,9.899,0.265
a,523253,0.000,0.000,36.000,0.000,2.021,-0.157,0.040,0.076,0.165,9.899,0.259
a,523257,0.000,0.000,36.000,0.000,2.021,0.118,0.101,-0.122,0.168,9.888,0.260
a,523261,0.000,0.000,36.000,0.000,2.021,-0.172,-0.235,-0.550,0.183,9.889,0.227
a,523265,0.000,0.000,36.000,0.000,1.978,-0.050,0.193,0.122,0.158,9.893,0.249
a,523269,0.000,0.000,36.000,0.000,2.021,-0.050,0.101,-0.214,0.174,9.887,0.254
a,523273,0.000,0.000,36.000,0.000,2.021,-0.050,0.208,-0.168,0.174,9.865,0.269
a,523277,0.000,0.000,36.000,0.000,2.021,-0.065,-0.021,-1.298,0.198,9.887,0.256
a,523281,0.000,0.000,36.000,0.000,2.021,0.011,-0.021,0.122,0.168,9.861,0.279
a,523286,0.000,0.000,36.000,0.000,2.065,-0.004,-0.036,0.595,0.195,9.900,0.254
a,523289,0.000,0.000,36.000,0.000,2.065,-0.264,-0.005,0.778,0.157,9.865,0.238
a,523293,0.000,0.000,36.000,0.000,2.021,-0.218,-0.219,-0.382,0.170,9.902,0.256
a,523297,0.000,0.000,36.000,0.000,2.021,-0.065,0.040,-1.191,0.165,9.858,0.235
