HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,SWP_SG,SV_POS,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z
a,123398,0.000,0.000,36.000,0.000,-0.044,-0.051,0.041,0.520,2.085,9.446,2.120
a,123403,0.000,0.000,36.000,0.000,-0.044,-0.051,0.026,-0.091,2.101,9.457,2.127
a,123406,0.000,0.000,36.000,0.000,-0.044,-0.112,0.133,0.169,2.078,9.446,2.122
a,123410,0.000,0.000,36.000,0.000,-0.044,0.056,-0.142,-0.030,2.103,9.456,2.122
a,123414,0.000,0.000,36.000,0.000,-0.088,-0.051,0.133,0.138,2.101,9.442,2.115
a,123418,0.000,0.000,36.000,0.000,0.352,-0.112,0.087,0.459,2.082,9.442,2.113
a,123423,0.000,0.000,36.000,0.000,-0.044,-0.127,0.026,-0.793,2.091,9.433,2.115
a,123427,0.000,0.000,36.000,0.000,-0.088,0.010,-0.050,-0.091,2.076,9.471,2.121
a,123431,0.000,0.000,36.000,0.000,-0.088,0.163,0.194,0.321,2.070,9.469,2.145
a,123434,0.000,0.000,36.000,0.000,-0.088,0.041,-0.035,-0.579,2.081,9.471,2.115
a,123438,0.000,0.000,36.000,0.000,-0.044,-0.173,0.148,0.734,2.097,9.410,2.097
a,123442,0.000,0.000,36.000,0.000,-0.044,-0.127,-0.188,-0.473,2.073,9.454,2.119
a,123446,0.000,0.000,36.000,0.000,-0.088,-0.158,-0.050,-0.198,2.078,9.413,2.138
a,123451,0.000,0.000,36.000,0.000,0.000,-0.112,0.194,0.031,2.085,9.468,2.109
a,123455,0.000,0.000,36.000,0.000,-0.044,0.041,-0.188,-0.412,2.076,9.444,2.103
a,123459,0.000,0.000,36.000,0.000,-0.044,-0.081,-0.081,1.512,2.073,9.442,2.128
a,123462,0.000,0.000,36.000,0.000,-0.044,0.041,0.133,-1.114,2.054,9.451,2.113
a,123467,0.000,0.000,36.000,0.000,-0.044,-0.005,-0.065,0.688,2.085,9.428,2.093
a,123470,0.000,0.000,36.000,0.000,-0.088,0.056,0.072,-0.030,2.103,9.433,2.102
a,123474,0.000,0.000,36.000,0.000,-0.088,-0.051,0.026,-0.137,2.096,9.450,2.143
a,123478,0.000,0.000,36.000,0.000,-0.088,0.071,0.057,0.138,2.073,9.442,2.102
a,123482,0.000,0.000,36.000,0.000,-0.088,-0.112,0.133,-0.030,2.094,9.461,2.122
a,123486,0.000,0.000,36.000,0.000,-0.088,0.071,-0.096,0.077,2.058,9.449,2.096
a,123490,0.000,0.000,36.000,0.000,-0.044,0.010,0.057,0.352,2.088,9.427,2.109
a,123494,0.000,0.000,36.000,0.000,-0.176,0.102,-0.417,-0.137,2.076,9.404,2.121
